id,city,state,bathrooms,bedrooms,livingArea,lotArea,lotUnit,price,homeType_CONDO,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE,median_income
61,Southaven,MS,2.431612026216735,3.0,1862.0,7500.0,sqft,255500.0,0,0,1,0,35918.0
62,Oshkosh,WI,2.0,3.0,1339.0,6969.6,sqft,160000.0,0,0,1,0,31956.0
63,De Soto,KS,3.0,2.0,1320.0,5965.0,sqft,215100.0,0,0,1,0,36358.0
64,Lafayette,LA,3.0,4.0,2300.0,12972.168,acres,208900.0,0,0,1,0,42395.0
65,South Berwick,ME,3.0,3.0,3026.0,19602.0,acres,616400.0,0,0,1,0,47740.0
66,Grovetown,GA,3.0,5.0,2722.0,8276.4,sqft,315000.0,0,0,1,0,59675.0
67,Mercer,ME,1.0,4.0,1872.0,95832.00000000001,acres,165000.0,0,0,1,0,33382.0
68,Aurora,CO,3.0,3.0,3517.0,5663.0,sqft,601000.0,0,0,1,0,66549.0
69,Indianapolis,IN,4.0,4.0,3588.0,0.0,sqft,399000.0,1,0,0,0,34653.0
70,Eagan,MN,2.0,4.0,1665.0,22651.2,acres,350000.0,0,0,1,0,55675.0
71,North Providence,RI,2.0,4.0,1820.0,4517.0,sqft,290000.0,0,0,1,0,38576.0
72,Fullerton,CA,3.0,3.0,1652.0,0.0,sqft,603000.0,1,0,0,0,51842.0
73,Enosburg Falls,VT,3.0,3.0,1932.0,32670.0,acres,305000.0,0,0,1,0,29500.0
74,Foley,AL,3.0,4.0,3159.0,12632.4,acres,399900.0,0,0,1,0,27440.0
75,Marietta,GA,3.0,3.0,1462.0,4791.6,sqft,318500.0,0,0,1,0,50395.0
76,Muncie,IN,2.0,3.0,1065.0,4800.312,sqft,35000.0,0,0,1,0,21637.0
77,Clearfield,UT,3.0,5.0,2008.0,7840.0,sqft,468500.0,0,0,1,0,43095.0
78,Savannah,GA,1.0,3.0,890.0,5662.8,acres,60500.0,0,0,1,0,28720.0
79,Benton,AR,3.0,3.0,2238.0,14374.799999999996,acres,300000.0,0,0,1,0,33967.0
80,Pembroke Pines,FL,2.0,2.0,1137.0,0.0,sqft,180000.0,1,0,0,0,27287.0
81,Boise,ID,4.0,5.0,3790.0,8581.32,sqft,666500.0,0,0,1,0,48855.0
82,Waynesville,GA,2.0,3.0,1035.0,81892.79999999999,acres,174000.0,0,0,1,0,20409.0
83,Columbus,GA,2.0,3.0,1525.0,13939.2,acres,181000.0,0,0,1,0,29138.0
84,Coral Springs,FL,3.0,4.0,2525.0,13336.0,acres,730000.0,0,0,1,0,67604.0
85,Mount Vernon,IA,2.0,5.0,1440.0,187308.0,acres,210507.0,0,0,1,0,30550.0
86,Janesville,WI,2.0,4.0,1793.0,8712.0,sqft,170000.0,0,0,1,0,29507.0
87,Winter Garden,FL,4.0,5.0,2935.0,6098.4,sqft,655000.0,0,0,1,0,38201.0
88,Atlanta,GA,2.0,3.0,1412.0,14505.479999999996,acres,271000.0,0,0,1,0,37500.0
89,Urbandale,IA,2.0,2.0,1104.0,8712.0,sqft,180000.0,0,0,1,0,45795.0
90,Dayton,NV,3.0,4.0,2100.0,10890.0,acres,490567.0,0,0,1,0,42958.0
91,Jerome,ID,1.0,3.0,1040.0,8712.0,sqft,195000.0,0,0,1,0,30515.0
92,Des Moines,IA,4.0,3.0,1654.0,13939.2,acres,273600.0,0,0,1,0,38051.0
93,Honolulu,HI,2.0,2.0,1345.0,0.0,sqft,821000.0,1,0,0,0,64651.0
94,Southaven,MS,2.0,4.0,2260.0,15245.999999999998,acres,252800.0,0,0,1,0,35918.0
95,Irasburg,VT,2.0,3.0,1536.0,101.0,sqft,420000.0,0,0,1,0,24250.0
96,Lansing,MI,2.0,4.0,1774.0,6011.28,sqft,125000.0,0,0,1,0,37724.0
97,Phoenix,AZ,3.0,3.0,1460.0,0.0,sqft,325000.0,1,0,0,0,36206.0
98,Louisville,KY,4.0,4.0,4578.0,0.0,sqft,630000.0,1,0,0,0,57127.0
99,Sanbornville,NH,2.0,3.0,1508.0,33541.2,acres,300000.0,0,0,1,0,36175.0
100,Thomaston,ME,2.0,3.0,1512.0,41817.6,acres,320200.0,0,0,1,0,27159.0
101,Auburn,AL,4.0,4.0,2540.0,24829.200000000004,acres,267900.0,0,0,1,0,23958.0
102,Mount Laurel,NJ,3.0,4.0,2003.0,16988.4,acres,435000.0,0,0,1,0,57758.0
103,Las Vegas,NV,3.0,3.0,1854.0,3485.0,sqft,400000.0,0,0,1,0,67851.0
104,Eagan,MN,2.0,3.0,1589.0,0.0,sqft,260000.0,0,0,0,1,47336.0
105,Fairborn,OH,3.0,3.0,1784.0,7492.0,sqft,255500.0,0,0,1,0,34541.0
106,Windsor Mill,MD,3.0,3.0,1108.0,7405.2,sqft,325000.0,0,0,1,0,53075.0
107,Hyannis,MA,2.0,3.0,1056.0,12196.999999999998,acres,385000.0,0,0,1,0,31653.0
108,Kiel,WI,1.0,3.0,1359.0,6534.0,sqft,131000.0,0,0,1,0,40417.0
109,Olathe,KS,3.0,3.0,1774.0,0.0,sqft,247300.0,0,0,0,1,41434.0
110,Derby,CT,2.0,3.0,1504.0,26136.0,acres,250000.0,0,0,1,0,38306.0
111,Little Rock,AR,2.0,3.0,2028.0,0.0,acres,199500.0,0,0,1,0,43658.0
112,Monrovia,MD,4.0,5.0,4087.0,8712.0,sqft,848500.0,0,0,1,0,105223.0
113,Shreveport,LA,2.0,3.0,1456.0,9931.68,sqft,179900.0,0,0,1,0,31563.0
114,Tacoma,WA,2.0,3.0,1614.0,20399.148,acres,435000.0,0,0,1,0,38536.0
115,Concord,NH,2.0,3.0,1800.0,6970.0,sqft,350000.0,0,0,1,0,35505.0
116,Keenesburg,CO,2.0,3.0,1639.0,5100.0,sqft,425000.0,0,0,1,0,25333.0
117,Richmond,RI,3.0,3.0,1816.0,16988.0,acres,356000.0,0,0,1,0,36175.0
118,Makawao,HI,1.0,3.0,1025.0,10182.0,sqft,670000.0,0,0,1,0,53125.0
